what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1586454515965
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1586454515966
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1586454515966
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1586454515967
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1586454515969
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1586454515970
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1586454515970
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1586454515971
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1586454515971
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1586454515972
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1586454515973
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1586454515974
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1586454515975
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586454515976
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1586454515977
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586454515978
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1586454515978
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1586454515979
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1586454515980
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1586454515980
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1586454515980
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1586454515981
os,sysinfo,,,"win32",1586454515982
arch,sysinfo,,,"x86",1586454515982
ws,sysinfo,,,"win32",1586454515982
locale,sysinfo,,,"es_CO",1586454515982
processors,sysinfo,,,"12",1586454515982
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586454515982
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1586454515982
java.specification.name,sysinfo,,,"Java Platform API Specification",1586454515982
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586454515982
java.specification.version,sysinfo,,,"1.6",1586454515982
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1586454515982
java.version,sysinfo,,,"1.6.0_23",1586454515982
java.vm.info,sysinfo,,,"mixed mode",1586454515982
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1586454515982
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586454515982
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586454515982
java.vm.specification.version,sysinfo,,,"1.0",1586454515982
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1586454515982
java.vm.version,sysinfo,,,"19.0-b09",1586454515982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454530291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454539524
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586454547758
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1586454581594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1586454581619
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586454582084
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1586454582255
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586454583448
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1586454586452
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1586454586509
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1586454586514
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1586454589203
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1586454589204
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1586454589206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454591671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454672309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454691100
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1586454699746
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1586454699747
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1586454701686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454702089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454703717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454708193
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1586454708217
opened,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586454711588
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1586454711784
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1586454711794
activated,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586454748059
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586454749684
activated,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586454754924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454764672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454766976
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1586454767071
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586454767183
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1586454767605
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586454767606
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1586454767606
stopped,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1586454768605
stopped,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1586454768607
stopped,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1586454768608
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1586454768608
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1586454768608
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1586454768608
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1586454768609
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1586454768609
stopped,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1586454768609
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1586454768609
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1586454768611
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1586454768612
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1586454768612
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1586454768615
